音碼	注音	漢語拼音	聲母(Initial)	母音(Final)	    介音(medials)	(rime)	韻腹(nucleus)	韻尾(coda)
1		ㄓ		zhi			ini_zh			fin_FNULL1		/			FNULL1	n_FNULL1		/
2		ㄔ		chi			ini_ch			fin_FNULL1		/			FNULL1	n_FNULL1		/
3		ㄕ		shi			ini_sh			fin_FNULL1		/			FNULL1	n_FNULL1		/
4		ㄖ		ri			ini_r			fin_FNULL1		/			FNULL1	n_FNULL1		/
5		ㄗ		zi			ini_z			fin_FNULL2		/			FNULL2	n_FNULL2		/
6		ㄘ		ci			ini_c			fin_FNULL2		/			FNULL2	n_FNULL2		/
7		ㄙ		si			ini_s			fin_FNULL2		/			FNULL2	n_FNULL2		/
8		ㄚ		a			/				fin_a			/			a		n_a				/
9		ㄓㄚ	zha			ini_zh			fin_a			/			a		n_a				/
10		ㄔㄚ	cha			ini_ch			fin_a			/			a		n_a				/
11		ㄕㄚ	sha			ini_sh			fin_a			/			a		n_a				/
12		ㄗㄚ	za			ini_z			fin_a			/			a		n_a				/
13		ㄘㄚ	ca			ini_c			fin_a			/			a		n_a				/
14		ㄙㄚ	sa			ini_s			fin_a			/			a		n_a				/
15		ㄍㄚ	ga			ini_g			fin_a			/			a		n_a				/
16		ㄎㄚ	ka			ini_k			fin_a			/			a		n_a				/
17		ㄏㄚ	ha			ini_h			fin_a			/			a		n_a				/
18		ㄉㄚ	da			ini_d			fin_a			/			a		n_a				/
19		ㄊㄚ	ta			ini_t			fin_a			/			a		n_a				/
20		ㄋㄚ	na			ini_n			fin_a			/			a		n_a				/
21		ㄌㄚ	la			ini_l			fin_a			/			a		n_a				/
22		ㄅㄚ	ba			ini_b			fin_a			/			a		n_a				/
23		ㄆㄚ	pa			ini_p			fin_a			/			a		n_a				/
24		ㄇㄚ	ma			ini_m			fin_a			/			a		n_a				/
25		ㄈㄚ	fa			ini_f			fin_a			/			a		n_a				/
26		ㄛ		o			/				fin_o			/			o		n_o				/
27		ㄌㄛ	lo			ini_l			fin_o			/			o		n_o				/
28		ㄅㄛ	bo			ini_b			fin_o			/			o		n_o				/
29		ㄆㄛ	po			ini_p			fin_o			/			o		n_o				/
30		ㄇㄛ	mo			ini_m			fin_o			/			o		n_o				/
31		ㄈㄛ	fo			ini_f			fin_o			/			o		n_o				/
32		ㄜ		e			/				fin_e			/			e		n_e				/
33		ㄓㄜ	zhe			ini_zh			fin_e			/			e		n_e				/
34		ㄔㄜ	che			ini_ch			fin_e			/			e		n_e				/
35		ㄕㄜ	she			ini_sh			fin_e			/			e		n_e				/
